Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Final_Robot_X            Final_Robot_Y            Robot_Travel_Forward     Robot_Travel_Sideways    Robot_Travel_Yaw_Deg     Max_Torque               Critic_Loss              Critic_Steps             Critic_Time_Per_Update   Actor_Loss               Actor_Entropy            Actor_Steps              
0                        0.06979636450608571      21134                    5.730151310672871        16                       3.6417313087745655       1                        -0.5133100663366489      0.1376899251221664       -0.04796376056037843     -7.501673826482147e-05   6.350190053362551        27.226226330601413       0.056463260135135133     11100                    0.016088729076557333     -1.108324975365991       -5.738206908079955       555                      
10                       0.5944979332553015       26786                    4.794869558411923        471                      2.827727952955316        2                        -0.2991736799520795      -0.28879259790533907     -0.0600621641808471      -0.0675056276837537      4.078324577841514        33.24795043231091        0.01171971693002119      115040                   0.016734186079511312     -1.0007259413082168      -5.738201597942809       5752                     
20                       1.1390871834754943       32260                    7.240558433889815        675                      5.997424725674189        3                        0.3825732081576592       -0.1856137120437064      0.06231998216050367      -0.041439120362823205    -2.347675416479053       30.722215118353933       0.01655583308293269      220440                   0.017111879312075102     -1.5069454486553486      -5.738201904296875       11022                    
30                       1.6902972621387906       37677                    11.095496864133606       793                      15.41946051017677        4                        0.33476403361093926      -0.21024539916506377     0.11589421484280717      -0.06686789136041295     9.259330574560623        29.913200272144575       0.021594047915312952     326420                   0.016427811547912067     -1.9158460960166828      -5.738201443876934       16321                    
40                       2.2704831906821994       43242                    12.034086007455436       907                      15.17887290879258        5                        0.41752357609943425      -0.326285825721899       0.16840660411187194      -0.10420920052142306     10.783957028636895       30.486513292372102       0.026055164683948865     435440                   0.018256211324171587     -2.0256789328835225      -5.738206232244318       21772                    
50                       2.9005184552404617       48704                    10.737018905592377       1019                     13.839894753191636       6                        0.746333789414331        0.35661186998730826      0.2842058552937074       -0.005096766251054677    4.976958520864032        34.694848220910465       0.031595882481668364     542440                   0.019129973844465964     -2.177588171785029       -5.7382020565918905      27122                    
60                       3.52924008541637         54141                    12.759180444982377       1131                     14.090054202511519       7                        0.5210923601388244       -0.11265798673313662     0.24156969582492654      -0.012521654092283412    -3.1888834449794103      29.471117338871263       0.03906092089275981      648940                   0.019946448839912118     -2.2862837443980135      -5.738201289213905       32447                    
70                       4.151790018147892        59657                    12.132883874614162       1243                     17.513007220108292       8                        0.5631940694391957       0.2183501547655873       0.2943375247341464       0.014033150803615254     0.39850059598166054      32.77903668377025        0.04372314856949285      757020                   0.01975538243868851      -2.3084363739071363      -5.738203254223771       37851                    
80                       4.762408036126031        65198                    13.622438909150885       1354                     14.755143180068142       9                        0.46067181335407353      -0.42584692327202833     0.27655009349638765      0.031011545861309223     8.139134653914942        28.81104839574816        0.04947211248224432      865620                   0.018384226062081076     -2.4623075727982955      -5.738206232244318       43281                    
90                       5.349095333019893        70621                    13.640701771352013       1465                     17.443278212941454       10                       0.6070034872587386       -0.17754577469638458     0.3341399943456054       -0.04134487089785663     1.226666807287211        31.476593753175756       0.0538905732403553       971860                   0.01850297019360884      -2.5075562210512428      -5.738203839557927       48593                    
